<new sheet>
sheet_name: Depository Corporations Survey
,Depository Corporations Survey,,,,,

,Period,,Rs. million,,,
,,,Broad Money (M2b),Domestic Net Credit to Central Government ,Other Domestic Credit ,Net Foreign Assets of the Banking System
,,,Broad Money (M2b),Broad Money (M2b),Broad Money (M2b),Broad Money (M2b)
,2000,January,432180.66009792,93733,338817,102036
,,February,433555.76094701,94700,343138,101509
,,March,441840.761509045,95316,349159,99074
,,April,439970.174389,101391,352567,98367
,,May,435694.160843035,100653,356927,88958
,,June,442827.39298734,106885,368622,87014
,,July,445989.04927912,109321,369042,85560
,,August,451218.60387174,109600,372843,88816
,,September,457595.0057327,116054,378255,87664
,,October,463255.8314015,126863,387280,80070
,,November,465737.19105848,132187,395025,69933
,,December,483420.9014357832,147304,402623,69529
,2001,January,486569.890675393,148584.490675393,411521.5,82165.74557605997
,,February,488923.8087561128,147631.4087561128,410433.9,87264.25439511001
,,March,493667.5185839599,154623.5185839599,415179.6,83008.13741204998
,,April,498983.9905958224,156413.5905958224,424974.6,87722.56063975
,,May,498291.34519076906,160450.0829263691,429871.1299261601,75866.97002904
,,June,495731.1345455478,154663.8573533378,432730.78896975,81819.24845604
,,July,502416.5343659455,157091.21169568552,434353.48475349,76027.57419908
,,August,509820.07244563615,164441.4015153061,427727.840537,88125.34418409999
,,September,515945.3470318008,171876.38399906078,427743.11727231997,79916.65226304
,,October,520332.3579562596,176596.4472613096,429535.82033716,86459.54868571002
,,November,532857.1548358975,187482.5315257675,436328.57260251,79236.10791182
,,December,549137.8581646201,201311.0716373701,437564.84077387,74129.79290882
,2002,January,550197.2961185704,201609.33334879042,434152.28755614,74337.81068308
,,February,558562.6617626343,197704.7559540543,435653.13882600004,77186.88145985999
,,March,570244.7613625537,196011.05938012362,444027.99763805995,79684.47402889999
,,April,575040.7616493843,199597.3372633644,443883.33508798,87686.6434945
,,May,577056.74735204,203117.8906848,448767.811957,89266.21948080999
,,June,584335.3473829895,203488.3743112345,451898.76409983204,94043.884733805
,,July,589925.7685592165,201918.97428484203,458542.08011478954,94417.86466018448
,,August,596324.2380025833,199590.74080442323,458635.0092358352,100977.54167645758
,,September,601471.1730115544,200361.8350473144,467292.44593399996,100568.67145899999
,,October,605384.48377724,200307.15970725002,471301.88441162504,101944.2463545
,,November,614141.0931207298,199288.1732461192,475699.2870930147,104204.5702315431
,,December,622495.346047965,192993.9170948,487402.45088077505,110642.72046865002
,2003,January,629492.9286315821,194191.8979074068,482969.0437667958,120418.5708585238
,,February,635737.0689906674,186020.57253588998,485112.3342528695,122847.40907159986
,,March,643063.4300524549,191168.333774988,493914.8147474163,115529.57324941452
,,April,648591.1843852449,181221.3051449802,498043.9934804031,120373.53716204345
,,May,651250.316110261,188985.3434279298,504498.7595996734,125638.89007611541
,,June,655004.427388795,179780.518977945,506866.23934644,132964.93978582497
,,July,660456.3101664073,174487.2500200411,510120.11408576503,138747.3143406608
,,August,668743.4407295205,175716.8370182708,512627.7409028855,143872.8508631417
,,September,678893.2779231872,166503.9930240202,527730.331930644,148083.155457263
,,October,686859.6609918352,165600.1015330159,532563.8567287592,154431.62317077038
,,November,700234.0721183857,168263.40869566254,546877.2765369616,158897.7506739392
,,December,717854.8314915029,176235.84590650076,555636.290063777,167093.4938090258
,2004,January,724300.3310674799,186439.14222131588,549122.9401979019,173423.112150072
,,February,735103.20993763,173245.45400351172,563045.4438554316,185702.5483413677
,,March,746084.7010493525,188673.6672492753,568332.9288235954,180282.07195187162
,,April,749310.468525399,187799.75656246723,579842.8208738101,173092.5496402836
,,May,754995.0107523391,194941.65169707662,586232.9788581501,171313.9037254714
,,June,759794.8564741702,189781.81172495594,601605.7943540036,164258.3616013996
,,July,776842.8669845259,200318.18275537755,610449.545942,168723.7805234525
,,August,786020.600726908,203562.0389712836,619715.6748174373,163346.1060477004
,,September,801588.0414365982,213287.47196293026,629170.3809378205,166880.25140331913
,,October,813573.6551778342,215981.75507596898,642024.4230019352,155501.3530691628
,,November,834681.9778482702,225250.98073152604,662356.8058161901,163484.57082445678
,,December,858644.4702794862,220461.7991421362,675480.49052666,170217.77624762998
,2005,January,867385.2046403242,207270.6707695434,669834.9463869606,169469.4632012107
,,February,878199.6455522403,216491.6731934694,666108.8004642283,181038.92473747896
,,March,891661.2643438054,217648.82752000215,663081.347840849,181271.71257453723
,,April,904951.8343900102,224567.54979531103,675144.9984269977,186324.33349002327
,,May,901667.1046899853,231073.64396276197,690695.6254211644,175723.95502410317
,,June,913159.4018438483,232430.75639823818,701016.6918273349,183297.27951466505
,,July,928303.8283807216,230499.34006892768,719095.8499396277,179643.49886256226
,,August,945538.0630107932,239709.2091044109,759827.7693655217,185072.47720006245
,,September,959112.1029119082,239184.9859383948,776930.5969991308,178352.851537574
,,October,988773.0525549296,249317.6864126104,793349.4919912127,189778.97213548722
,,November,1006356.021188269,252200.10347426898,803625.3064550001,188431.68894000005
,,December,1022277.2597862256,249564.71419766752,817820.507359682,201329.62472947757
,2006,January,1040544.5030121175,256899.22888852865,823636.8723535013,212479.27020601818
,,February,1058933.788283857,262274.75660803076,835090.1274717465,219446.3950476747
,,March,1069380.1276891353,264277.59173567535,849133.1895079777,230760.2362096134
,,April,1084657.1898837243,268478.6920691908,859931.2742184022,226567.88607096497
,,May,1080177.3435350587,270188.6609445492,879136.1523917806,211323.52256227162
,,June,1084833.5016681864,270201.5085539124,895247.6313780176,193322.60653991328
,,July,1095047.036722434,271468.99130336277,914764.861266204,184371.05340046
,,August,1097188.3890448716,268543.1867797744,925278.1743153412,177442.43708730847
,,September,1116228.2785129761,275408.20320721087,951147.090324144,166540.27644180742
,,October,1155303.182514517,317547.19674092915,978269.4275781872,166844.30669103356
,,November,1176369.685027234,333174.1403917539,1008142.68616684,161237.54898447997
,,December,1204550.3466124786,357289.2277886004,1024714.0497392768,171190.79909235204
,2007,January,1208103.136363097,350357.7303830079,1040041.550146017,165872.055228353
,,February,1234790.5795099894,359838.7652304927,1061335.9898467737,183408.69399133738
,,March,1258541.610517354,353957.53545618115,1077083.7684436874,198460.88290070882
,,April,1266403.86541519,330130.8775882558,1100025.8081782542,190492.22452189948
,,May,1282269.2773814723,352109.29599781154,1119279.0807976127,179476.94103707373
,,June,1294024.1613389938,371447.50357999397,1134748.377242,171844.79546299996
,,July,1313001.284902065,377387.2527020649,1149809.124024,198580.84345699998
,,August,1340746.9480491604,384557.56877025747,1177093.9467996066,183349.71996447997
,,September,1357399.883019612,403153.0319877716,1191987.5192933276,182917.15762304357
,,October,1357387.7570311248,344749.6407657762,1196964.8659088863,234631.4184266475
,,November,1389854.9259147402,360290.6664908873,1218831.5369116063,230739.55847195047
,,December,1404018.5131116407,374100.55455464084,1233685.8758540002,227991.52387899993
,2008,January,1398625.1671606698,363633.95529965055,1243559.0874822994,213568.49109703087
,,February,1406964.0641549772,353937.67434359924,1240145.829291376,240688.45681243206
,,March,1430467.2924660977,368860.2103096898,1243915.0068425192,245124.98825153837
,,April,1455871.8872557941,391993.2189390628,1257821.4989522523,238351.32989454764
,,May,1450692.6337038665,394250.8455930801,1254615.282089897,235965.7201553376
,,June,1470465.868777478,391305.3485918881,1255166.57386836,253171.82706224
,,July,1485699.2126894677,404635.9841507063,1267990.4993682052,253067.55215006886
,,August,1478811.8790588125,410704.47040298604,1275750.7888324375,231152.82679838606
,,September,1501518.102122556,431972.6839875623,1287910.6681681396,214084.39262835775
,,October,1489809.7328767227,486515.47933091474,1298992.5389419158,141464.47389633005
,,November,1491130.792830911,519921.78764870006,1307924.0569845235,120683.91661865546
,,December,1522775.7469295776,582907.3844945792,1314591.1685816273,77700.10700558484
,2009,January,1528254.0966259365,636953.7334470365,1306696.33488755,47362.251531550006
,,February,1546513.0733498114,672645.9795063663,1300037.5913636568,52691.22393250838
,,March,1581580.3138743388,705008.2731158703,1285667.0094067233,62369.035454352415
,,April,1605134.9334763447,746008.3442109616,1276540.921548703,72228.32753465722
,,May,1624257.2886191718,742870.8712112294,1259459.7189391041,107750.4433190632
,,June,1645776.351698712,772742.591539486,1240189.6707888052,123919.339696441
,,July,1683066.4290562738,780684.167576148,1229578.7756419473,166780.41367473407
,,August,1702948.4263768482,712337.7234927061,1211646.91631458,274186.3261844227
,,September,1736019.702274141,648919.4535265642,1249541.7403048757,323983.86788203084
,,October,1755399.4778132925,606657.2922679621,1245317.8082788293,427758.6764388545
,,November,1770460.2287211432,605326.9018518174,1259096.8870136489,413824.71091327176
,,December,1806168.93041306,640326.357263881,1267421.5504823318,401879.6459933541
,2010,January,1800605.9266923694,657823.6127095026,1271125.0065948353,377293.77918342914
,,February,1814776.3008182708,669955.5826986977,1301251.5225153938,355697.28311793314
