<new sheet>
sheet_name: Cen. Gov. Op. 
"​Central Bank of Sri Lanka. Economic Research Department.Sri Lanka: Economic and Financial Data Special Data Dissemination Standard [SDDS]
Historical Data Series [2000-2021]​: Central Government Operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


SDDS data category and component,Unit of description,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014 Q1,2014 Q2,2014 Q3  ,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1 ,2017 Q2 ,2017 Q3 ,2017 Q4 ,2018 Q1 ,2018 Q2 ,2018 Q3 ,2018 Q4 ,2019 Q1 ,2019 Q2 ,2019 Q3 ,2019 Q4 (a),2020 Q1,2020 Q2 ,2020 Q3,"2020 Q4
(b)",2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,"2022 Q4
(c)","2023 Q1
(c)","2023 Q2
(c)"
​​FISCAL SECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
​Central Government Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue and Grants​,Rs. million,216427.0,239796.0,268967.0,284421.0,320154.0,412387.0,507901.0,595559.0,686482.0,725566.0,834188.0,983003.0,1067531.0,1153306.0,245916,297668.24016140006,293318.75983859994,367717.98940911004,285650,320184,353719,501339,345613,396683,437735,513527.44281613006,436655,440922,453019,508965.85170761985,469395.7,456335.0919999999,496635.9080000003,510092.21192252985,442500.55,446061.168,526686.9550000003,483559.7309999999,407233.4,258261.72166666645,366181.29516266694,341631.5831706666,365807.06999999995,349464.6000000001,336903.16884650325,411635.50845291675,446946.3573573201,472521.5031821399,530912.8462607233,562208.2931998167,635266.8521976534,681786.20935582
Total Revenue​,Rs. million,211282.0,234296.0,261888.0,276465.0,311473.0,379747.0,477833.0,565051.0,655260.0,699644.0,817279.0,967862.0,1051460.0,1137447.0,245232,291159.24016140006,291799.75983859994,367014.96211721003,285556,320094,353242,,345613,396223,437502,506724.46950174007,436005,440257,451887,503381.76419887994,469065.7,451708.49999999994,496047.50000000023,503151.6920875998,442206.55,445798.029,525607.885,477286.53599999985,405274.4,258101.0216666665,365529.19516266685,339055.38317066664,365378.37999999995,349158.74000000005,336220.4607697433,406313.22127784684,446825.2246139301,471668.1873012199,529988.6620668233,530701.9260180267,634887.1121976534,679998.99935582
Tax Revenue​,Rs. million,182392.0,205840.0,221839.0,231597.0,281552.0,336828.0,428378.0,508947.0,585621.0,618933.0,724747.0,845697.0,908913.0,1005895.0,227707,256687.40000000002,267785.6,298182.3354376899,257661,299919,330661,,325403,359503,382411,396371.86065882,415081,403886,421027,430184.21948818,425267.7,420022.39999999997,432881.1000000002,434146.33793509984,406540.55,405096.97799999994,489136.6730000002,434150.7989999999,341336.4,239506.46166666655,333243.6721626668,302455.4661706666,324335.06999999995,316871.93000000005,310544.04046252323,346268.0194892867,369881.53885591007,428914.14671247,484572.59064209333,467763.7237895266,577692.2420429133,621160.0696779999
Non Tax Revenue​,Rs. million,28890.0,28456.0,40050.0,44868.0,29921.0,42919.0,49455.0,56104.0,69639.0,80711.0,92532.0,122165.0,142547.0,131552.0,17525,34471.8401614,24014.159838599997,68832.62667952,27895,20175,22581,,20210,36720,55091,110352.60884292002,20924,36371,30860,73197.54471069999,43798,31686.100000000006,63166.399999999994,69005.35415250002,35666,40701.05100000001,36471.212,43135.736999999994,63937.99999999999,18594.55999999999,32285.523000000016,36598.917,41043.31,32286.809999999998,25676.420307220003,60045.20178856001,76943.68575802,42754.04058875001,45416.071424730006,62938.202228499984,57194.87015474,58838.92967782001
Grants,Rs. million,5145.0,5500.0,7079.0,7956.0,8681.0,32640.0,30068.0,30508.0,31222.0,25922.0,16909.0,15141.0,16071.0,15859.0,684,6509,1519,703.0272918999999,94,90,477,,0,460,233,6802.97331439,650,665,1132,5584.08750874,330,4626.592,588.4080000000004,6940.519834930001,294,263.139,1079.0699999999997,6273.195000000001,1959,160.69999999999982,652.1000000000004,2576.2,428.69,305.85999999999996,682.70807676,5322.287175070001,121.13274339,853.31588092,924.1841938999999,31506.36718179,379.74,1787.2099999999998
Total Expenditure and Lending Minus Repayments,Rs. million,335822.0,386518.0,402990.0,417673.0,476907.0,584783.0,713646.0,841604.0,996126.0,1201927.0,1280205.0,1433182.0,1556499.0,1669396.0,553945,367360.45817061,405389,469170.66107668984,493431,514076,525037,,526320,544263,615419,647881.2405929096,636322,573848,679794,683092.3442814415,675197,596383.1100000001,747906.8899999999,673741.2584108701,730141.243,680111.6569999999,765025.7000000002,1162617,742992.4,658161.9,784282.2268299998,855559.4731700001,765477.73,729978.8300000001,884954.9603297501,1141323.6121581597,931231.9046082309,890912.4224968791,872643.2482480537,1777768.4246468362,1260044.74,1299574.6500000001
Recurrent Expenditure,Rs. million,254279.0,303361.0,330847.0,334694.0,389679.0,443350.0,547960.0,622758.0,743710.0,879575.0,937094.0,1024906.0,1131023.0,1205180.0,399489,243612.45817061,318975,360821.58205904975,410941,358401,443745,488570.61956819147,426509,409028,472810,449434.8125084401,484220,433992,519611,489869.9370113902,527530,468093.1100000001,582135.8899999999,511954.29588226974,576012.3,544265.5999999999,609581.7000000002,694722.3999999999,647955.9,589449.2000000001,701378.2999999998,609575.6000000001,690422.73,620563.1100000001,776323.5861453,660202.7137355998,820984.98147993,750651.5693668302,728534.2888536197,1219462.1602996201,1151642.04,1173898.96
of which Interest Payments,Rs. million,71200.0,94307.0,116515.0,125126.0,119782.0,120159.0,150777.0,182681.0,212475.0,309675.0,352592.0,356699.0,408498.0,444007.0,127162.58183524,93182.41267578003,143144.00548897998,72906.05951180984,145228,109302,144993,,154314,135393,182035.74992198002,139151.82095672988,209034,139610,226554,160367.67671091994,220857,170611,275757,184965.04648655,240619.59999999998,214029.40000000002,254883.09999999998,191819.90000000002,263150,225088,293692.30000000005,198371.69999999995,301115.27999999997,205876.15000000002,326000.25653268996,215390.75398246007,378959.52946323,278869.47072012007,269536.80968058005,637824.1901360699,673071.76,600219.24
Capital Expenditure and Net Lending,Rs. million,81544.0,83157.0,72142.0,82979.0,87228.0,141433.0,165686.5,218846.0,252416.0,322352.0,343111.0,408276.0,425476.0,464215.92223189014,154456,123748,86414,108349.07901763998,82490,155675,81292,269279.5444125106,99811,135235,142609,198446.42808446952,152102,139856,160183,193222.4072700513,147667,128290,165771,161786.96252860012,154128.943,135846.057,155444,467894.6,95036.5,68712.70000000001,82903.92682999998,245984.87317,75055,109415.72,108631.37418444999,481120.89842255996,110246.92312830093,140260.85313004907,144108.95939443394,558306.2643472161,108402.64,125675.75000000001
