<new sheet>
sheet_name: GDP Implicit price deflator
,,GDP Implicit Price Deflator (2002=100),Agriculture,Industry,Services,GDP Implicit Price Deflator (2010=100),Agriculture,Industry,Services,GDP Implicit Price Deflator (2015=100),Agriculture,Industry,Services
2002,Q1,100,100,100,100,,,,,,,,
,Q2,100,100,100,100,,,,,,,,
,Q3,100,100,100,100,,,,,,,,
,Q4,100,100,100,100,,,,,,,,
2003,Q1,105.3,103.2,108.1,104.5,,,,,,,,
,Q2,105,98,107.7,105.4,,,,,,,,
,Q3,105.1,98.6,105.7,106.3,,,,,,,,
,Q4,105.2,106.6,110.5,102.5,,,,,,,,
2004,Q1,110,104.2,114.6,109.3,,,,,,,,
,Q2,111.8,105.2,116.9,110.9,,,,,,,,
,Q3,114.4,109.5,115.4,115,,,,,,,,
,Q4,121.4,126,126.4,118.3,,,,,,,,
2005,Q1,121.4,120.3,128.5,118.2,,,,,,,,
,Q2,123.5,116.9,138.7,118,,,,,,,,
,Q3,126.4,113.7,129.4,127.8,,,,,,,,
,Q4,133.8,130.4,146.1,128.6,,,,,,,,
2006,Q1,129.9,121.6,143.7,125.1,,,,,,,,
,Q2,138.4,126.1,158,131.9,,,,,,,,
,Q3,141,128.1,148.6,140.1,,,,,,,,
,Q4,152.9,146.1,160.1,150.7,,,,,,,,
2007,Q1,148,147.3,157.9,143.4,,,,,,,,
,Q2,157,146.3,173.4,151.6,,,,,,,,
,Q3,160.5,156.1,164.8,159.3,,,,,,,,
,Q4,175.3,183.7,178.2,172.5,,,,,,,,
2008,Q1,174,205.7,178.8,164.4,,,,,,,,
,Q2,186,216.7,200.7,173.2,,,,,,,,
,Q3,190.2,207.4,194.4,184.5,,,,,,,,
,Q4,195.5,194.4,196.5,195.2,,,,,,,,
2009,Q1,191.9,214.7,202.8,181.2,,,,,,,,
,Q2,190.8,188.4,205.6,184.3,,,,,,,,
,Q3,192.1,203.6,194.9,188.5,,,,,,,,
,Q4,214.4,226.9,214.9,212,,,,,,,,
2010,Q1,206.5,237.7,215.5,194.6,100.6428155726865,98.55394920378123,98.21513074852251,101.64207729024126,,,,
,Q2,205.1,212.6,215.4,198.7,100.84043930839258,101.31535382135685,98.64443062020676,100.77679539629152,,,,
,Q3,204,216.8,204.3,201.2,97.94592342574622,98.67807488991825,98.56342153278412,98.08254443788267,,,,
,Q4,231.2,243.8,231.8,228.9,100.65165691924231,101.14372431300103,104.7563068395732,99.79795480870105,,,,
2011,Q1,226.3,277.9,231.9,212.8,111.11372501858341,121.28042622596466,110.09880469432561,104.83999198656481,,,,
,Q2,220.7,236.3,230.9,212.9,105.3796942456782,116.10191246467778,109.67491304472105,101.97536288046474,,,,
,Q3,219.9,222.8,219.9,219.3,103.46378630960903,103.9257014690367,107.177392772611,103.84675118741886,,,,
,Q4,246.6,253.2,249.5,244.2,97.12985856228728,107.87223622086188,106.25767244899274,106.28395951730025,,,,
2012,Q1,237.4,252.1,248,228.7,118.70073271385206,103.91870466964261,126.06521757928637,112.82874819313489,,,,
,Q2,239.7,234.8,252.3,234.4,116.78121854864219,106.55917362082164,129.71598536855248,112.6528473885536,,,,
,Q3,238,235.3,240.2,237.4,115.57783279643894,109.61048763313983,129.994589861885,116.39245075840353,,,,
,Q4,279.4,271.8,288.7,275.3,110.05007197716043,117.73081420417704,131.59907881445824,115.63779908460658,,,,
2013,Q1,257.6,288.2,266.6,245.8,128.76058026890192,119.9243099585454,130.54947405165072,125.86849347802624,,,,
,Q2,255.5,251.6,267.4,250.1,122.86041579025944,118.96563490352163,132.06531754659417,121.14891696854212,,,,
,Q3,251.9,250.9,256.1,249.9,123.32228747264367,120.76641160263057,133.34553668702688,121.0066271398203,,,,
,Q4,296.3,266.4,312.8,291.5,114.93994997601548,121.09738456213894,132.31453104317873,123.08345328426869,,,,
2014,Q1,271.5,288.7,274.6,266.1,132.28210391135025,119.90537619789534,132.2080346685921,130.21878599607518,,,,
